GBCR,Gray-breasted Crake
GBFL,Golden-bellied Flycatcher
GBHA,Gray-bellied Hawk
GBHE,Great Blue Heron
GBHE_FAN,Great Blue Heron fannini subspecies
GBHE_WHI,Great White Heron
GBMG,Green-breasted Mountain-gem
GBSP,Green-backed Sparrow
GBTE,Gull-billed Tern
GBWA,Golden-browed Warbler
GBWO,Gray-breasted Woodpecker
GBWR,Gray-barred Wren
GBWW,Gray-breasted Wood-Wren
GCAF,Gray-capped Flycatcher
GCAT,Grand Cayman Thrush
GCBE,Gray-collared Becard
GCBR,Green-crowned Brilliant
GCBT,Unidentified Gray-cheeked/Bicknell's Thrush
GCDO,Gray-chested Dove
GCEM,Golden-crowned Emerald
GCFL,Great Crested Flycatcher
GCHW,Golden-cheeked Woodpecker
GCKI,Golden-crowned Kinglet
GCMA,Golden-collared Manakin
GCNU,Gray-cheeked Nunlet
GCPT,Gray-crowned Palm-Tanager
GCRF,Gray-crowned Rosy-Finch
GCRS,Golden-crowned Spadebill
GCRW,Golden-crowned Warbler
GCSP,Golden-crowned Sparrow
GCTE,Great Crested Tern
GCTH,Gray-cheeked Thrush
GCWA,Golden-cheeked Warbler
GCYE,Gray-crowned Yellowthroat
GFGR,Golden-fronted Greenlet
GFHU,Green-fronted Hummingbird
GFLY,Grenada Flycatcher
GFQD,Gray-fronted Quail-Dove
GFRL,Green-fronted Lancebill
GFWO,Golden-fronted Woodpecker
GGMA,Great Green Macaw
GGOW,Great Gray Owl
GGWO,Golden-green Woodpecker
GHCH,Gray-headed Chickadee
GHDO,Gray-headed Dove
GHEC,Gray-headed Chachalaca
GHET,Gray-headed Tanager
GHGU,Gray-hooded Gull
GHJU,Gray-headed Junco
GHKI,Gray-headed Kite
GHMA,Golden-headed Manakin
GHOT,Golden-hooded Tanager
GHOW,Great Horned Owl
GHPI,Gray-headed Piprites
GHQU,Golden-headed Quetzal
GICO,Giant Cowbird
GIFL,Gilded Flicker
GIKI,Giant Kingbird
GIWO,Gila Woodpecker
GIWR,Giant Wren
GJAC,Great Jacamar
GKIN,Green Kingfisher
GKIS,Great Kiskadee
GLGU,Glaucous Gull
GLIB,Glossy Ibis
GLTH,Glow-throated Hummingbird
GMAG,Green Mango
GMAK,Green Manakin
GNBM,Green-breasted Mango
GNCW,Green-crowned Woodnymph
GNLA,Greater Necklaced Laughingthrush
GNTA,Green-naped Tanager
GNWO,Golden-naped Woodpecker
GNWR,Gray-necked Wood-Rail
GOCF,Golden-crowned Flycatcher
GOEA,Golden Eagle
GOSW,Golden Swallow
GOVI,Golden Vireo
GOWO,Golden-olive Woodpecker
GRAE,Gray Elaenia
GRAF,Gray Francolin
GRAH,Gray Heron
GRAJ,Gray Jay
GRAK,Gray Kingbird
GRAM,Greater Amakihi
GRAP,Gray Partridge
GRAS,Grayish Saltator
GRAT,Gray Thrasher
GRAU,Great Auk
GRAW,Gray Wagtail
GRBH,Great Black-Hawk
GRBU,Gray Bunting
GRCA,Gray Catbird
GRCO,Great Cormorant
GRCU,Great Curassow
GRDO,Grenada Dove
GREF,Great Frigatebird
GREG,Great Egret
GREH,Green Hermit
GREJ,Green Jay
GREL,Greenish Elaenia
GREP,Green Parakeet
GRET,Green Thorntail
GREV,Green Violetear
GRFH,Gray Frog-Hawk
GRFL,Gray Flycatcher
GRGO,Greylag Goose
GRGU,Gray Gull
GRHA,Gray Hawk
GRHE,Green Heron
GRHO,Green Honeycreeper
GRIB,Green Ibis
GRKF,Greater Koa-Finch
GRKN,Great Knot
GRLC,Great Lizard-Cuckoo
GRNI,Gray Nightjar
GRPC,Greater Prairie-Chicken
GRPE,Greater Pewee
GRPO,Great Potoo
GRPU,Greenish Puffleg
GRRO,Greater Roadrunner
GRSA,Green Sandpiper
GRSC,Greater Scaup
GRSF,Gray Silky-flycatcher
GRSG,Greater Sage-Grouse
GRSG_PHA,Greater Sage-Grouse phaios subspecies
GRSG_URO,Greater Sage-Grouse urophasianus subspecies
GRSH,Great Shearwater
GRSK,Great Skua
GRSP,Grasshopper Sparrow
GRSV,Green Shrike-Vireo
GRSW,Gray-rumped Swift
GRTA,Greater Ani
GRTI,Great Tinamou
GRTR,Gray Trembler
GRUP,Green-rumped Parrotlet
GRVI,Gray Vireo
